id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,question_en_clean,question_ru_clean,combined_question
267,Does dengue cause slow heartbeat?,Kya dengue me dil ki dharkan sust hosakti hai?,"Rare; if present, needs medical evaluation.",Kam hota hai; agar ho to muaina zaruri hai.,symptoms;cardio,Clinical,urgent-care,does dengue cause slow heartbeat,kya dengue me dil ki dharkan sust hosakti hai,does dengue cause slow heartbeat kya dengue me dil ki dharkan sust hosakti hai
268,Does dengue cause fast heartbeat?,Kya dengue me dharkan tez hoti hai?,"Yes, from fever and dehydration.","Haan, bukhar aur dehydration se.",symptoms;cardio,WHO,general,does dengue cause fast heartbeat,kya dengue me dharkan tez hoti hai,does dengue cause fast heartbeat kya dengue me dharkan tez hoti hai
269,Can dengue cause low oxygen?,Kya dengue me oxygen kam hosakti hai?,"Yes, in severe lung involvement or shock.","Haan, severe dengue me.",severe_dengue;respiratory,WHO,emergency,can dengue cause low oxygen,kya dengue me oxygen kam hosakti hai,can dengue cause low oxygen kya dengue me oxygen kam hosakti hai
270,Can dengue cause chest heaviness?,Kya dengue me seena bhari lagta hai?,"If chest heaviness occurs, medical assessment is needed.",Agar seena bhaari lage to muaina karein.,symptoms;cardio,Clinical,general,can dengue cause chest heaviness,kya dengue me seena bhari lagta hai,can dengue cause chest heaviness kya dengue me seena bhari lagta hai
271,Does dengue cause swelling of legs?,Kya paon sooj jate hain?,Swelling during leakage needs evaluation.,Leakage me soojan par muaina zaruri hai.,severe_dengue;swelling,WHO,urgent-care,does dengue cause swelling of legs,kya paon sooj jate hain,does dengue cause swelling of legs kya paon sooj jate hain
272,Is cold skin dangerous?,Kya thandi skin khatarnak hai?,"Cold, clammy skin indicates possible shock—seek emergency care.","Thandi, chipchipi skin shock ka ishara hai—emergency hai.",warning_signs;shock,WHO,general,is cold skin dangerous,kya thandi skin khatarnak hai,is cold skin dangerous kya thandi skin khatarnak hai
273,Does dengue cause irritability?,Kya dengue me chichrhat hoti hai?,Irritability may indicate dehydration or worsening illness.,Chichrhat dehydration ya halat bigarnay ki nishani hai.,symptoms;mental_state,WHO,general,does dengue cause irritability,kya dengue me chichrhat hoti hai,does dengue cause irritability kya dengue me chichrhat hoti hai
274,Does dengue cause hallucinations?,Kya dengue me ajeeb nazaray dikhte hain?,"Rare; if present, seek urgent evaluation.",Kam hota hai; agar ho to foran muaina karein.,symptoms;neuro,Clinical,general,does dengue cause hallucinations,kya dengue me ajeeb nazaray dikhte hain,does dengue cause hallucinations kya dengue me ajeeb nazaray dikhte hain
275,Can dengue cause dark urine?,Kya dengue me peshab ghanay rang ka hota hai?,Dark urine indicates dehydration; increase fluids.,Ghana peshab dehydration ki nishani hai—maye barhayen.,hydration;monitoring,WHO,general,can dengue cause dark urine,kya dengue me peshab ghanay rang ka hota hai,can dengue cause dark urine kya dengue me peshab ghanay rang ka hota hai
276,Is fainting a warning sign?,Kya behosh hona dengue me khatarnak hai?,"Yes, fainting suggests poor circulation or dehydration.","Haan, behoshi circulation ya dehydration se hoti hai.",warning_signs;circulation,WHO,general,is fainting a warning sign,kya behosh hona dengue me khatarnak hai,is fainting a warning sign kya behosh hona dengue me khatarnak hai
277,Does dengue cause chills without fever?,Kya dengue me bukhar ke bina kapkapi hosakti hai?,"Usually chills accompany fever, not occur alone.",Aam tor par kapkapi bukhar ke sath hoti hai.,symptoms;fever,WHO,general,does dengue cause chills without fever,kya dengue me bukhar ke bina kapkapi hosakti hai,does dengue cause chills without fever kya dengue me bukhar ke bina kapkapi hosakti hai
278,Does dengue cause confusion?,Kya dengue me uljhan hoti hai?,Confusion is a red-flag sign—urgent care needed.,Uljhan shadeed alamat hai—foran madad lein.,warning_signs;neuro,WHO,general,does dengue cause confusion,kya dengue me uljhan hoti hai,does dengue cause confusion kya dengue me uljhan hoti hai
279,Is rash needed to diagnose dengue?,Kya rash tashkhis ke liye zaruri hai?,"No, dengue can occur without rash.","Nahi, rash ke baghair bhi dengue hosakta hai.",diagnosis;clinical,WHO,general,is rash needed to diagnose dengue,kya rash tashkhis ke liye zaruri hai,is rash needed to diagnose dengue kya rash tashkhis ke liye zaruri hai
280,How long does dengue recovery take?,Dengue recovery kitni der leti hai?,Most patients recover within 2 weeks; fatigue may last longer.,Aksar 2 hafton me behtari hoti hai; thakan zyada arsa reh sakti hai.,recovery,WHO,general,how long does dengue recovery take,dengue recovery kitni der leti hai,how long does dengue recovery take dengue recovery kitni der leti hai
281,When can I return to work?,Kaam par kab wapas ja sakta hoon?,"When fever stops, hydration is stable, and strength improves.","Jab bukhar khatam ho, hydration theek ho aur taqat aaye.",recovery;activity,WHO,general,when can i return to work,kaam par kab wapas ja sakta hoon,when can i return to work kaam par kab wapas ja sakta hoon
282,Can dengue cause long-term fatigue?,Kya dengue me lambi muddat ki thakan hosakti hai?,"Yes, post-viral fatigue may last weeks.","Haan, post-viral thakan hafton tak chal sakti hai.",recovery;fatigue,Clinical,general,can dengue cause longterm fatigue,kya dengue me lambi muddat ki thakan hosakti hai,can dengue cause longterm fatigue kya dengue me lambi muddat ki thakan hosakti hai
283,Can dengue cause hair loss?,Kya dengue ke baad bal jhadte hain?,Temporary hair shedding may occur after severe illness.,Shadeed bimari ke baad bal jhadna hosakta hai.,recovery;post_viral,Clinical,general,can dengue cause hair loss,kya dengue ke baad bal jhadte hain,can dengue cause hair loss kya dengue ke baad bal jhadte hain
284,Does dengue affect immunity?,Kya dengue immunity ko asar karta hai?,Immunity may weaken temporarily during illness.,Bimari ke douran immune system kamzor hosakta hai.,immunity,WHO,general,does dengue affect immunity,kya dengue immunity ko asar karta hai,does dengue affect immunity kya dengue immunity ko asar karta hai
285,Can dengue cause mild swelling?,Kya dengue me halki soojan hoti hai?,Mild swelling may occur but severe swelling is concerning.,Halki soojan hosakti hai; shadeed soojan khatarnaak hai.,symptoms;swelling,Clinical,general,can dengue cause mild swelling,kya dengue me halki soojan hoti hai,can dengue cause mild swelling kya dengue me halki soojan hoti hai
286,What happens on day 3 of dengue?,Dengue ke din 3 me kya hota hai?,Platelets may drop and fever may remain high.,Platelets girna shuru hosakte hain aur bukhar barha reh sakta hai.,timeline,WHO,general,what happens on day 3 of dengue,dengue ke din 3 me kya hota hai,what happens on day 3 of dengue dengue ke din 3 me kya hota hai
287,What happens on day 5?,Din 5 me kya hota hai?,Fever often begins to fall; critical phase may start.,Bukhar girna shuru hota hai; critical phase shuru hosakti hai.,timeline;critical_phase,WHO,general,what happens on day 5,din 5 me kya hota hai,what happens on day 5 din 5 me kya hota hai
288,What happens on day 7?,Din 7 me kya hota hai?,Most patients exit the critical phase and begin recovery.,Aksar log critical phase se nikal kar recovery me jate hain.,timeline;recovery,WHO,general,what happens on day 7,din 7 me kya hota hai,what happens on day 7 din 7 me kya hota hai
289,Can dengue last more than a week?,Kya dengue aik haftay se zyada rehta hai?,"Yes, recovery and fatigue may extend into weeks.","Haan, recovery aur thakan hafton tak ja sakti hai.",timeline;recovery,WHO,general,can dengue last more than a week,kya dengue aik haftay se zyada rehta hai,can dengue last more than a week kya dengue aik haftay se zyada rehta hai
290,Does dengue affect sleep?,Kya dengue neend ko asar karta hai?,"Yes, fever and pain disturb sleep.","Haan, bukhar aur dard neend ko kharab karte hain.",symptoms;sleep,Clinical,general,does dengue affect sleep,kya dengue neend ko asar karta hai,does dengue affect sleep kya dengue neend ko asar karta hai
291,Can dengue cause tingling?,Kya dengue me tingling mehsoos hoti hai?,Rare but possible with dehydration or electrolyte imbalance.,Kam hota hai lekin dehydration ya imbalance se.,symptoms;neuro,Clinical,general,can dengue cause tingling,kya dengue me tingling mehsoos hoti hai,can dengue cause tingling kya dengue me tingling mehsoos hoti hai
292,Does dengue cause swollen lips?,Kya dengue me hont sooj jate hain?,"Uncommon; if swelling occurs, seek evaluation.",Kam hota hai; ho to muaina karein.,symptoms;swelling,Clinical,general,does dengue cause swollen lips,kya dengue me hont sooj jate hain,does dengue cause swollen lips kya dengue me hont sooj jate hain
293,Does dengue cause fever spikes?,Kya dengue me bukhar achanak barhta hai?,"Yes, fever may rise suddenly in early days.","Haan, shuru me bukhar achanak barh sakta hai.",symptoms;fever,WHO,general,does dengue cause fever spikes,kya dengue me bukhar achanak barhta hai,does dengue cause fever spikes kya dengue me bukhar achanak barhta hai
294,Does dengue cause red eyes?,Kya dengue me aankhen surkh hoti hain?,Mild redness may occur in some patients.,Kuch logon me halki surkhi hosakti hai.,symptoms;eye,Clinical,general,does dengue cause red eyes,kya dengue me aankhen surkh hoti hain,does dengue cause red eyes kya dengue me aankhen surkh hoti hain
295,Is extreme thirst normal?,Kya bohat pyaas dengue me aam hai?,"Yes, due to dehydration from fever.","Haan, bukhar se dehydration hoti hai jo pyaas barhati hai.",hydration;symptoms,WHO,general,is extreme thirst normal,kya bohat pyaas dengue me aam hai,is extreme thirst normal kya bohat pyaas dengue me aam hai
296,Does dengue cause shakiness?,Kya dengue me komp hota hai?,"Yes, chills can cause shaking.","Haan, kapkapi se komp hosakta hai.",symptoms;fever,WHO,general,does dengue cause shakiness,kya dengue me komp hota hai,does dengue cause shakiness kya dengue me komp hota hai
297,Can dengue cause rapid breathing?,Kya dengue me tez saans hoti hai?,"Yes, often due to dehydration or respiratory involvement.","Haan, dehydration ya respiratory maslay se.",symptoms;respiratory,WHO,general,can dengue cause rapid breathing,kya dengue me tez saans hoti hai,can dengue cause rapid breathing kya dengue me tez saans hoti hai
298,Is low BP normal in dengue?,Kya kam blood pressure dengue me normal hota hai?,"No, low BP suggests severe disease.","Nahi, kam BP severe dengue ki nishani hai.",warning_signs;BP,WHO,general,is low bp normal in dengue,kya kam blood pressure dengue me normal hota hai,is low bp normal in dengue kya kam blood pressure dengue me normal hota hai
299,Does dengue affect urine color?,Kya dengue me peshab ka rang badalta hai?,"Yes, dark urine indicates dehydration.","Haan, ghana rang dehydration dikhata hai.",hydration;monitoring,WHO,general,does dengue affect urine color,kya dengue me peshab ka rang badalta hai,does dengue affect urine color kya dengue me peshab ka rang badalta hai
300,Can dengue cause swelling around eyes?,Kya dengue me aankhon ke gird soojan hoti hai?,Mild swelling may occur; severe swelling needs medical evaluation.,Halki soojan hosakti hai; shadeed soojan par muaina zaruri hai.,symptoms;eye,Clinical,general,can dengue cause swelling around eyes,kya dengue me aankhon ke gird soojan hoti hai,can dengue cause swelling around eyes kya dengue me aankhon ke gird soojan hoti hai
301,Do Aedes mosquitoes breed indoors?,Kya Aedes machar ghar ke andar breed karte hain?,"Yes, they commonly breed in indoor containers with clean stagnant water.","Haan, yeh aksar ghar ke andar saaf ruke pani ke bartanon me breed karte hain.",vector;breeding,WHO,general,do aedes mosquitoes breed indoors,kya aedes machar ghar ke andar breed karte hain,do aedes mosquitoes breed indoors kya aedes machar ghar ke andar breed karte hain
302,Can Aedes breed in plant trays?,Kya Aedes ghamlon ki tray me breed karta hai?,"Yes, plant trays and small water collections are major breeding hotspots.","Haan, ghamlon ki trays machron ki barray breeding hotspots hoti hain.",vector_control;household,WHO,general,can aedes breed in plant trays,kya aedes ghamlon ki tray me breed karta hai,can aedes breed in plant trays kya aedes ghamlon ki tray me breed karta hai
303,How far can Aedes mosquitoes fly?,Aedes machar kitna door urta hai?,They typically fly 100–200 meters around homes.,Aam tor par yeh 100–200 meter tak gharon ke aas paas urtay hain.,vector;behavior,WHO,general,how far can aedes mosquitoes fly,aedes machar kitna door urta hai,how far can aedes mosquitoes fly aedes machar kitna door urta hai
304,Do Aedes mosquitoes prefer humans?,Kya Aedes machar insano ko zyada pasand karta hai?,"Yes, Aedes aegypti prefers human blood and lives near households.","Haan, Aedes aegypti insani khoon pasand karta hai aur gharon ke qareeb rehta hai.",vector;behavior,WHO,general,do aedes mosquitoes prefer humans,kya aedes machar insano ko zyada pasand karta hai,do aedes mosquitoes prefer humans kya aedes machar insano ko zyada pasand karta hai
305,Are Aedes active at night?,Kya Aedes raat ko active hotay hain?,"They mainly bite during the day, but low-level activity at night can occur indoors.","Yeh zyada tar din me kaat-te hain, magar ghar ke andar raat ko halki activity hosakti hai.",vector;behavior,WHO,general,are aedes active at night,kya aedes raat ko active hotay hain,are aedes active at night kya aedes raat ko active hotay hain
306,Can mosquito larvae survive in dirty drains?,Kya machar ke larvey ganday drains me zinda rehte hain?,Aedes prefer clean stagnant water; dirty drains mostly breed other mosquitoes.,Aedes saaf ruka pani pasand karte hain; ganday drains me aam tor par doosri qisam ke machar hote hain.,breeding;vector,WHO,general,can mosquito larvae survive in dirty drains,kya machar ke larvey ganday drains me zinda rehte hain,can mosquito larvae survive in dirty drains kya machar ke larvey ganday drains me zinda rehte hain
